lineId,season,name,team,position,situation,games_played,icetime,iceTimeRank,xGoalsPercentage,corsiPercentage,fenwickPercentage,xOnGoalFor,xGoalsFor,xReboundsFor,xFreezeFor,xPlayStoppedFor,xPlayContinuedInZoneFor,xPlayContinuedOutsideZoneFor,flurryAdjustedxGoalsFor,scoreVenueAdjustedxGoalsFor,flurryScoreVenueAdjustedxGoalsFor,shotsOnGoalFor,missedShotsFor,blockedShotAttemptsFor,shotAttemptsFor,goalsFor,reboundsFor,reboundGoalsFor,freezeFor,playStoppedFor,playContinuedInZoneFor,playContinuedOutsideZoneFor,savedShotsOnGoalFor,savedUnblockedShotAttemptsFor,penaltiesFor,penalityMinutesFor,faceOffsWonFor,hitsFor,takeawaysFor,giveawaysFor,lowDangerShotsFor,mediumDangerShotsFor,highDangerShotsFor,lowDangerxGoalsFor,mediumDangerxGoalsFor,highDangerxGoalsFor,lowDangerGoalsFor,mediumDangerGoalsFor,highDangerGoalsFor,scoreAdjustedShotsAttemptsFor,unblockedShotAttemptsFor,scoreAdjustedUnblockedShotAttemptsFor,dZoneGiveawaysFor,xGoalsFromxReboundsOfShotsFor,xGoalsFromActualReboundsOfShotsFor,reboundxGoalsFor,totalShotCreditFor,scoreAdjustedTotalShotCreditFor,scoreFlurryAdjustedTotalShotCreditFor,xOnGoalAgainst,xGoalsAgainst,xReboundsAgainst,xFreezeAgainst,xPlayStoppedAgainst,xPlayContinuedInZoneAgainst,xPlayContinuedOutsideZoneAgainst,flurryAdjustedxGoalsAgainst,scoreVenueAdjustedxGoalsAgainst,flurryScoreVenueAdjustedxGoalsAgainst,shotsOnGoalAgainst,missedShotsAgainst,blockedShotAttemptsAgainst,shotAttemptsAgainst,goalsAgainst,reboundsAgainst,reboundGoalsAgainst,freezeAgainst,playStoppedAgainst,playContinuedInZoneAgainst,playContinuedOutsideZoneAgainst,savedShotsOnGoalAgainst,savedUnblockedShotAttemptsAgainst,penaltiesAgainst,penalityMinutesAgainst,faceOffsWonAgainst,hitsAgainst,takeawaysAgainst,giveawaysAgainst,lowDangerShotsAgainst,mediumDangerShotsAgainst,highDangerShotsAgainst,lowDangerxGoalsAgainst,mediumDangerxGoalsAgainst,highDangerxGoalsAgainst,lowDangerGoalsAgainst,mediumDangerGoalsAgainst,highDangerGoalsAgainst,scoreAdjustedShotsAttemptsAgainst,unblockedShotAttemptsAgainst,scoreAdjustedUnblockedShotAttemptsAgainst,dZoneGiveawaysAgainst,xGoalsFromxReboundsOfShotsAgainst,xGoalsFromActualReboundsOfShotsAgainst,reboundxGoalsAgainst,totalShotCreditAgainst,scoreAdjustedTotalShotCreditAgainst,scoreFlurryAdjustedTotalShotCreditAgainst
84758258476902,2022,Lindell-Hakanp,DAL,pairing,5on5,82,59505.0,183.0,0.5,0.47,0.47,445.65,40.86,30.06,109.27,15.29,243.92,178.6,39.73,41.69,40.53,456.0,162.0,248.0,866.0,42.0,42.0,5.0,76.0,12.0,212.0,234.0,414.0,576.0,62.0,133.0,488.0,443.0,111.0,151.0,442.0,132.0,44.0,13.0,16.14,11.71,17.0,18.0,7.0,890.78,618.0,633.03,74.0,6.23,8.78,9.02,38.07,38.94,38.56,508.72,40.57,32.07,127.15,16.89,278.51,207.81,39.33,40.27,39.04,499.0,204.0,265.0,968.0,38.0,38.0,3.0,87.0,10.0,246.0,284.0,461.0,665.0,59.0,125.0,396.0,491.0,110.0,143.0,539.0,127.0,37.0,14.74,15.92,9.9,18.0,15.0,5.0,951.96,703.0,695.36,74.0,6.62,7.24,7.24,39.94,39.74,39.09
84751818476792,2022,Leddy-Krug,STL,pairing,5on5,41,2153.0,400.0,0.39,0.38,0.42,15.9,1.23,1.06,3.44,0.53,8.76,6.98,1.21,1.29,1.26,15.0,7.0,6.0,28.0,3.0,3.0,2.0,3.0,1.0,2.0,10.0,12.0,19.0,0.0,0.0,6.0,9.0,6.0,4.0,17.0,5.0,0.0,0.71,0.52,0.0,2.0,1.0,0.0,28.23,22.0,22.44,1.0,0.22,0.38,0.16,1.29,1.33,1.32,22.86,1.94,1.52,5.47,0.76,12.21,9.09,1.92,1.9,1.88,13.0,18.0,15.0,46.0,1.0,3.0,0.0,5.0,1.0,10.0,11.0,12.0,30.0,4.0,8.0,3.0,10.0,7.0,2.0,23.0,6.0,2.0,0.8,0.64,0.5,0.0,0.0,1.0,45.27,31.0,30.39,1.0,0.31,0.21,0.21,2.05,2.0,1.98
847740684793448480802,2022,Janmark-Mcleod-Puljujarvi,EDM,line,5on5,6,642.0,99.0,0.42,0.44,0.5,5.69,0.53,0.38,1.48,0.21,3.1,2.3,0.52,0.58,0.57,5.0,3.0,0.0,8.0,0.0,0.0,0.0,1.0,0.0,2.0,5.0,5.0,8.0,0.0,0.0,4.0,5.0,1.0,5.0,5.0,2.0,1.0,0.12,0.19,0.23,0.0,0.0,0.0,8.58,8.0,8.5,4.0,0.08,0.0,0.0,0.61,0.66,0.65,5.54,0.74,0.32,1.56,0.25,3.04,2.09,0.72,0.74,0.73,7.0,1.0,2.0,10.0,1.0,2.0,0.0,1.0,0.0,1.0,3.0,6.0,7.0,0.0,0.0,10.0,5.0,3.0,2.0,7.0,0.0,1.0,0.32,0.0,0.42,1.0,0.0,0.0,9.79,8.0,7.83,1.0,0.07,0.45,0.45,0.36,0.36,0.36
847634684764328479941,2022,Gaudreau-Jenner-Danforth,CBJ,line,5on5,3,894.0,21.0,0.39,0.46,0.5,7.51,0.6,0.46,1.53,0.22,4.12,3.06,0.6,0.58,0.58,7.0,3.0,1.0,11.0,1.0,0.0,0.0,3.0,0.0,1.0,5.0,6.0,9.0,2.0,4.0,12.0,4.0,2.0,0.0,7.0,3.0,0.0,0.31,0.3,0.0,0.0,1.0,0.0,10.43,10.0,9.67,0.0,0.1,0.0,0.0,0.7,0.68,0.67,7.37,0.96,0.52,1.57,0.24,3.84,2.87,0.91,1.0,0.95,6.0,4.0,3.0,13.0,0.0,1.0,0.0,1.0,0.0,4.0,4.0,6.0,10.0,3.0,6.0,3.0,3.0,1.0,2.0,5.0,3.0,2.0,0.12,0.33,0.51,0.0,0.0,0.0,13.8,10.0,10.48,1.0,0.11,0.26,0.26,0.81,0.84,0.82
847410284774298477952,2022,Perron-Copp-Fabbri,DET,line,5on5,6,984.0,49.0,0.32,0.31,0.25,4.7,0.36,0.27,1.03,0.13,2.05,2.16,0.36,0.35,0.34,5.0,1.0,2.0,8.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,3.0,4.0,2.0,4.0,7.0,9.0,0.0,4.0,5.0,1.0,0.0,0.18,0.18,0.0,2.0,0.0,0.0,7.76,6.0,5.82,3.0,0.06,0.0,0.0,0.42,0.4,0.39,12.82,0.76,0.76,4.08,0.55,6.67,5.18,0.75,0.77,0.76,14.0,4.0,0.0,18.0,0.0,2.0,0.0,2.0,0.0,3.0,11.0,14.0,18.0,1.0,2.0,6.0,4.0,3.0,4.0,15.0,3.0,0.0,0.41,0.35,0.0,0.0,0.0,0.0,18.2,18.0,18.16,1.0,0.16,0.09,0.09,0.83,0.85,0.84
84745638479998,2022,Anderson-Doughty,LAK,pairing,5on5,76,78733.0,91.0,0.52,0.53,0.53,635.43,57.62,42.27,152.75,20.67,344.49,255.19,55.23,58.16,55.75,633.0,240.0,290.0,1163.0,53.0,61.0,7.0,136.0,17.0,290.0,316.0,580.0,820.0,72.0,161.0,694.0,538.0,119.0,177.0,634.0,180.0,59.0,19.03,22.32,16.28,20.0,21.0,12.0,1177.67,873.0,885.44,120.0,8.8,12.25,12.25,54.16,54.61,53.42,559.89,52.24,38.12,134.65,18.58,306.04,224.38,49.25,51.98,49.05,542.0,232.0,273.0,1047.0,44.0,61.0,5.0,134.0,16.0,257.0,262.0,498.0,730.0,97.0,202.0,541.0,631.0,131.0,135.0,543.0,180.0,51.0,15.41,22.45,14.38,17.0,19.0,8.0,1039.38,774.0,768.84,94.0,7.92,11.99,11.99,48.16,48.19,47.0
847488484758488475968,2022,Hoffman-Belzile-Gallagher,MTL,line,5on5,1,646.0,2.0,0.44,0.42,0.5,5.81,0.28,0.37,1.3,0.17,3.42,2.45,0.28,0.28,0.28,4.0,4.0,0.0,8.0,0.0,0.0,0.0,1.0,0.0,3.0,4.0,4.0,8.0,1.0,2.0,5.0,4.0,3.0,3.0,7.0,1.0,0.0,0.18,0.1,0.0,0.0,0.0,0.0,8.3,8.0,8.33,3.0,0.07,0.0,0.0,0.36,0.36,0.36,5.08,0.35,0.4,1.26,0.19,3.44,2.35,0.35,0.35,0.35,4.0,4.0,3.0,11.0,0.0,0.0,0.0,2.0,0.0,3.0,3.0,4.0,8.0,0.0,0.0,3.0,2.0,2.0,3.0,7.0,1.0,0.0,0.23,0.13,0.0,0.0,0.0,0.0,10.45,8.0,7.65,3.0,0.08,0.0,0.0,0.43,0.43,0.42
847794184784328480849,2022,Ritchie-Hayton-Fischer,ARI,line,5on5,24,6204.0,173.0,0.44,0.45,0.44,53.05,4.83,3.78,12.39,1.66,28.85,20.49,4.65,4.88,4.69,52.0,20.0,24.0,96.0,2.0,8.0,1.0,7.0,2.0,28.0,25.0,50.0,70.0,9.0,21.0,34.0,66.0,6.0,17.0,51.0,17.0,4.0,1.65,2.13,1.04,0.0,1.0,1.0,95.36,72.0,71.68,10.0,0.78,1.54,1.2,4.41,4.42,4.32,66.11,6.25,4.57,16.39,2.24,36.03,25.51,5.96,6.22,5.92,67.0,24.0,26.0,117.0,4.0,8.0,0.0,19.0,0.0,28.0,32.0,63.0,87.0,9.0,21.0,66.0,44.0,10.0,13.0,61.0,24.0,6.0,1.89,2.84,1.53,1.0,2.0,1.0,116.91,91.0,90.26,5.0,0.96,1.34,1.34,5.87,5.83,5.7
847951484795438481058,2022,Pezzetta-Pitlick-Ylonen,MTL,line,5on5,2,703.0,8.0,0.33,0.3,0.29,3.96,0.55,0.37,0.84,0.16,2.28,1.79,0.54,0.57,0.55,6.0,0.0,2.0,8.0,1.0,1.0,1.0,0.0,0.0,3.0,1.0,5.0,5.0,2.0,4.0,3.0,6.0,1.0,4.0,3.0,3.0,0.0,0.13,0.42,0.0,0.0,1.0,0.0,7.78,6.0,6.1,4.0,0.08,0.17,0.17,0.46,0.46,0.45,10.58,1.11,0.85,2.64,0.34,6.08,3.98,1.09,1.08,1.06,9.0,6.0,4.0,19.0,1.0,1.0,0.0,2.0,0.0,4.0,7.0,8.0,14.0,1.0,2.0,8.0,8.0,1.0,2.0,9.0,5.0,1.0,0.25,0.64,0.23,0.0,1.0,0.0,18.96,15.0,14.56,2.0,0.17,0.04,0.04,1.24,1.21,1.19
847745684784208478542,2022,Rodrigues-Compher-Rantanen,COL,line,5on5,25,7253.0,186.0,0.51,0.47,0.5,70.24,6.82,4.92,15.34,2.24,40.55,29.11,6.46,7.02,6.65,75.0,24.0,21.0,120.0,4.0,5.0,0.0,18.0,7.0,31.0,34.0,71.0,95.0,10.0,20.0,63.0,35.0,12.0,12.0,72.0,19.0,8.0,2.48,2.33,2.01,3.0,1.0,0.0,125.78,99.0,102.74,8.0,1.01,1.25,1.25,6.59,6.77,6.69,72.01,6.47,4.82,17.53,2.34,38.91,28.93,6.12,6.2,5.87,75.0,24.0,35.0,134.0,5.0,8.0,1.0,17.0,0.0,41.0,28.0,70.0,94.0,4.0,8.0,62.0,48.0,23.0,11.0,73.0,18.0,8.0,1.84,2.35,2.28,2.0,2.0,1.0,126.71,99.0,94.42,6.0,1.01,1.71,1.71,5.77,5.51,5.36
