lineId,season,name,team,position,situation,games_played,icetime,iceTimeRank,xGoalsPercentage,corsiPercentage,fenwickPercentage,xOnGoalFor,xGoalsFor,xReboundsFor,xFreezeFor,xPlayStoppedFor,xPlayContinuedInZoneFor,xPlayContinuedOutsideZoneFor,flurryAdjustedxGoalsFor,scoreVenueAdjustedxGoalsFor,flurryScoreVenueAdjustedxGoalsFor,shotsOnGoalFor,missedShotsFor,blockedShotAttemptsFor,shotAttemptsFor,goalsFor,reboundsFor,reboundGoalsFor,freezeFor,playStoppedFor,playContinuedInZoneFor,playContinuedOutsideZoneFor,savedShotsOnGoalFor,savedUnblockedShotAttemptsFor,penaltiesFor,penalityMinutesFor,faceOffsWonFor,hitsFor,takeawaysFor,giveawaysFor,lowDangerShotsFor,mediumDangerShotsFor,highDangerShotsFor,lowDangerxGoalsFor,mediumDangerxGoalsFor,highDangerxGoalsFor,lowDangerGoalsFor,mediumDangerGoalsFor,highDangerGoalsFor,scoreAdjustedShotsAttemptsFor,unblockedShotAttemptsFor,scoreAdjustedUnblockedShotAttemptsFor,dZoneGiveawaysFor,xGoalsFromxReboundsOfShotsFor,xGoalsFromActualReboundsOfShotsFor,reboundxGoalsFor,totalShotCreditFor,scoreAdjustedTotalShotCreditFor,scoreFlurryAdjustedTotalShotCreditFor,xOnGoalAgainst,xGoalsAgainst,xReboundsAgainst,xFreezeAgainst,xPlayStoppedAgainst,xPlayContinuedInZoneAgainst,xPlayContinuedOutsideZoneAgainst,flurryAdjustedxGoalsAgainst,scoreVenueAdjustedxGoalsAgainst,flurryScoreVenueAdjustedxGoalsAgainst,shotsOnGoalAgainst,missedShotsAgainst,blockedShotAttemptsAgainst,shotAttemptsAgainst,goalsAgainst,reboundsAgainst,reboundGoalsAgainst,freezeAgainst,playStoppedAgainst,playContinuedInZoneAgainst,playContinuedOutsideZoneAgainst,savedShotsOnGoalAgainst,savedUnblockedShotAttemptsAgainst,penaltiesAgainst,penalityMinutesAgainst,faceOffsWonAgainst,hitsAgainst,takeawaysAgainst,giveawaysAgainst,lowDangerShotsAgainst,mediumDangerShotsAgainst,highDangerShotsAgainst,lowDangerxGoalsAgainst,mediumDangerxGoalsAgainst,highDangerxGoalsAgainst,lowDangerGoalsAgainst,mediumDangerGoalsAgainst,highDangerGoalsAgainst,scoreAdjustedShotsAttemptsAgainst,unblockedShotAttemptsAgainst,scoreAdjustedUnblockedShotAttemptsAgainst,dZoneGiveawaysAgainst,xGoalsFromxReboundsOfShotsAgainst,xGoalsFromActualReboundsOfShotsAgainst,reboundxGoalsAgainst,totalShotCreditAgainst,scoreAdjustedTotalShotCreditAgainst,scoreFlurryAdjustedTotalShotCreditAgainst
84784698480073,2022,Chabot-Brannstrom,OTT,pairing,5on5,49,9762.0,293.0,0.54,0.56,0.56,101.34,10.32,7.01,24.12,3.48,54.11,39.95,9.9,10.14,9.73,101.0,38.0,58.0,197.0,9.0,11.0,1.0,19.0,5.0,45.0,50.0,92.0,130.0,11.0,31.0,78.0,90.0,19.0,27.0,97.0,29.0,13.0,3.01,3.75,3.56,2.0,1.0,6.0,191.33,139.0,135.94,17.0,1.48,2.15,2.02,9.78,9.62,9.46,81.09,8.92,6.0,18.39,2.69,42.97,31.02,8.77,9.29,9.14,83.0,27.0,44.0,154.0,14.0,6.0,1.0,9.0,2.0,40.0,39.0,69.0,96.0,17.0,40.0,69.0,67.0,17.0,34.0,70.0,27.0,13.0,2.25,3.08,3.59,3.0,6.0,5.0,162.2,110.0,114.63,19.0,1.26,1.08,1.08,9.1,9.47,9.34
84752798481542,2022,Chiarot-Seider,DET,pairing,5on5,67,32733.0,281.0,0.44,0.43,0.45,243.85,19.27,15.84,59.75,7.91,135.51,99.72,18.25,19.41,18.41,251.0,87.0,109.0,447.0,25.0,22.0,3.0,53.0,5.0,105.0,128.0,226.0,313.0,31.0,62.0,242.0,252.0,42.0,66.0,266.0,51.0,21.0,7.4,6.14,5.73,13.0,8.0,4.0,443.82,338.0,337.6,29.0,3.26,4.65,4.35,18.18,18.27,17.91,289.55,24.2,19.23,70.39,9.7,164.96,119.5,23.27,24.13,23.22,293.0,115.0,174.0,582.0,32.0,25.0,4.0,53.0,7.0,158.0,133.0,261.0,376.0,36.0,72.0,275.0,162.0,65.0,74.0,310.0,81.0,17.0,9.56,9.66,4.99,19.0,9.0,4.0,583.47,408.0,408.68,37.0,3.97,4.72,4.71,23.47,23.31,22.74
847572684774968479346,2022,Dube-Lindholm-Toffoli,CGY,line,5on5,48,21825.0,238.0,0.52,0.58,0.58,220.18,18.32,14.45,56.88,7.71,122.75,88.89,17.53,18.46,17.65,214.0,95.0,100.0,409.0,22.0,21.0,2.0,58.0,4.0,85.0,119.0,192.0,287.0,24.0,52.0,274.0,141.0,48.0,56.0,236.0,53.0,20.0,6.49,6.44,5.39,11.0,8.0,3.0,411.77,309.0,310.92,29.0,2.99,4.18,4.32,16.99,17.14,16.83,168.53,16.7,11.59,39.38,5.32,87.31,65.7,15.81,16.73,15.86,169.0,57.0,69.0,295.0,17.0,20.0,1.0,38.0,3.0,69.0,79.0,152.0,209.0,20.0,46.0,194.0,147.0,39.0,48.0,155.0,52.0,19.0,4.52,6.63,5.55,7.0,8.0,2.0,293.41,226.0,226.08,28.0,2.42,4.4,4.4,14.72,14.72,14.33
847516884757988479996,2022,Duchene-Glass-Granlund,NSH,line,5on5,9,1003.0,115.0,0.49,0.38,0.38,7.65,0.7,0.47,1.56,0.21,3.85,3.21,0.67,0.66,0.64,9.0,1.0,4.0,14.0,1.0,1.0,0.0,0.0,0.0,2.0,6.0,8.0,9.0,1.0,2.0,3.0,5.0,3.0,6.0,7.0,2.0,1.0,0.16,0.22,0.32,1.0,0.0,0.0,13.79,10.0,9.79,4.0,0.1,0.32,0.32,0.48,0.46,0.45,11.16,0.72,0.68,2.49,0.34,6.68,5.09,0.71,0.75,0.74,8.0,8.0,7.0,23.0,0.0,0.0,0.0,3.0,0.0,7.0,6.0,8.0,16.0,0.0,0.0,12.0,5.0,3.0,3.0,12.0,4.0,0.0,0.27,0.45,0.0,0.0,0.0,0.0,23.36,16.0,16.44,2.0,0.14,0.0,0.0,0.86,0.9,0.88
84717248475208,2022,Dumoulin-Letang,PIT,pairing,5on5,60,32588.0,200.0,0.52,0.52,0.52,302.21,27.77,21.13,72.74,10.56,168.8,124.01,26.53,27.85,26.6,290.0,135.0,164.0,589.0,21.0,32.0,1.0,56.0,8.0,146.0,162.0,269.0,404.0,30.0,60.0,314.0,247.0,77.0,94.0,308.0,88.0,29.0,9.38,10.91,7.48,7.0,10.0,4.0,589.81,425.0,424.77,46.0,4.39,5.76,5.6,26.55,26.56,25.97,285.27,25.14,19.71,70.23,9.71,154.77,114.45,24.27,25.18,24.3,294.0,100.0,147.0,541.0,28.0,31.0,6.0,55.0,8.0,125.0,147.0,266.0,366.0,32.0,64.0,313.0,260.0,86.0,75.0,284.0,87.0,23.0,8.2,10.61,6.33,10.0,12.0,6.0,543.19,394.0,394.79,39.0,4.09,5.41,5.41,23.81,23.83,23.24
847645384780108479542,2022,Hagel-Point-Kucherov,TBL,line,5on5,73,37430.0,240.0,0.54,0.56,0.56,379.08,38.23,27.05,88.39,12.77,207.94,150.61,36.63,38.36,36.77,370.0,155.0,168.0,693.0,36.0,38.0,8.0,83.0,22.0,176.0,170.0,334.0,489.0,45.0,96.0,280.0,161.0,116.0,118.0,360.0,130.0,35.0,12.24,16.15,9.84,11.0,13.0,12.0,702.54,525.0,529.28,53.0,5.64,7.84,7.79,36.08,36.16,35.39,303.45,32.14,21.76,70.56,9.98,165.27,117.29,30.67,32.18,30.69,326.0,91.0,132.0,549.0,34.0,35.0,6.0,73.0,8.0,104.0,163.0,292.0,383.0,44.0,97.0,298.0,308.0,128.0,73.0,277.0,104.0,36.0,8.64,13.22,10.28,13.0,13.0,8.0,547.68,417.0,416.77,35.0,4.54,8.45,8.03,28.66,28.69,28.32
847342284757458479365,2022,Foligno-Coyle-Frederic,BOS,line,5on5,31,4130.0,324.0,0.39,0.48,0.46,33.51,2.22,2.21,7.58,0.96,17.59,13.44,2.2,2.34,2.32,37.0,7.0,19.0,63.0,5.0,2.0,1.0,9.0,0.0,13.0,15.0,32.0,39.0,2.0,7.0,38.0,40.0,5.0,12.0,34.0,10.0,0.0,1.04,1.18,0.0,3.0,2.0,0.0,65.71,44.0,45.71,6.0,0.45,0.08,0.08,2.59,2.73,2.7,37.38,3.5,2.45,8.9,1.22,21.03,14.9,3.35,3.41,3.27,37.0,15.0,16.0,68.0,3.0,4.0,0.0,10.0,4.0,20.0,11.0,34.0,49.0,6.0,17.0,27.0,27.0,10.0,7.0,39.0,8.0,5.0,1.2,0.98,1.32,2.0,1.0,0.0,65.97,52.0,50.36,4.0,0.51,0.86,0.86,3.15,3.11,3.04
84780138479425,2022,Walman-Hronek,DET,pairing,5on5,27,6675.0,169.0,0.49,0.46,0.49,55.48,4.56,3.69,12.76,1.68,30.85,22.45,4.38,4.54,4.36,57.0,19.0,19.0,95.0,7.0,4.0,0.0,9.0,0.0,25.0,31.0,50.0,69.0,8.0,18.0,40.0,49.0,11.0,15.0,54.0,18.0,4.0,1.39,2.09,1.08,4.0,2.0,1.0,94.34,76.0,76.13,11.0,0.76,0.76,0.76,4.57,4.59,4.53,56.55,4.67,3.78,14.05,1.93,32.14,23.43,4.54,4.75,4.62,48.0,32.0,31.0,111.0,4.0,5.0,0.0,9.0,1.0,29.0,32.0,44.0,76.0,7.0,14.0,44.0,28.0,8.0,14.0,63.0,13.0,4.0,1.96,1.62,1.09,1.0,2.0,1.0,115.25,80.0,82.04,4.0,0.78,0.95,0.95,4.5,4.56,4.51
847353384758558476921,2022,Martinook-Staal-Fast,CAR,line,5on5,76,44349.0,186.0,0.63,0.62,0.62,439.77,41.46,31.43,114.83,15.38,244.71,171.18,39.76,42.13,40.42,403.0,216.0,217.0,836.0,36.0,58.0,7.0,83.0,12.0,243.0,187.0,367.0,583.0,49.0,99.0,510.0,262.0,95.0,89.0,450.0,120.0,49.0,13.19,14.61,13.68,16.0,15.0,5.0,851.7,619.0,628.58,45.0,6.6,12.36,12.32,35.76,36.31,35.37,276.65,24.77,19.17,65.43,9.09,148.94,111.59,23.8,24.53,23.59,271.0,108.0,124.0,503.0,26.0,23.0,1.0,56.0,6.0,136.0,132.0,245.0,353.0,43.0,89.0,411.0,342.0,80.0,125.0,267.0,89.0,23.0,7.27,11.3,6.2,5.0,19.0,2.0,494.37,379.0,374.04,75.0,3.99,4.38,4.38,24.39,24.25,23.68
84793988480069,2022,Girard-Makar,COL,pairing,5on5,47,8482.0,314.0,0.47,0.47,0.43,65.6,5.45,4.05,16.14,2.18,35.27,26.92,5.12,5.48,5.14,70.0,20.0,44.0,134.0,1.0,6.0,0.0,20.0,1.0,23.0,39.0,69.0,89.0,11.0,24.0,65.0,54.0,19.0,20.0,73.0,10.0,7.0,2.22,1.13,2.11,1.0,0.0,0.0,131.64,90.0,89.06,11.0,0.83,1.58,1.58,4.71,4.64,4.56,86.0,6.1,5.63,21.22,2.85,48.08,36.12,5.88,6.25,6.03,88.0,32.0,29.0,149.0,6.0,8.0,0.0,23.0,3.0,44.0,36.0,82.0,114.0,6.0,12.0,55.0,53.0,27.0,17.0,96.0,19.0,5.0,2.53,2.28,1.29,3.0,2.0,1.0,151.5,120.0,122.02,8.0,1.16,1.29,1.29,5.96,6.1,6.0
